Price,BuyUrl,Title
" 4,275.00",https://www.ebay.in/itm/Laboratory-Medicine-Diagnosis-of-Disease-in-Clinical-Laboratory-2-E/182790144024?hash=item2a8f244018:g:0J8AAOSwk~NZykxX,Laboratory Medicine Diagnosis of Disease in Clinical Laboratory 2/E
" 5,581.90",https://www.ebay.in/itm/Essentials-of-Communication-Research/122668310446?hash=item1c8f99dfae:g:uIUAAOSw1xhZoO3Q,Essentials of Communication Research
" 2,974.15",https://www.ebay.in/itm/Oxford-Handbook-of-Paediatrics/182858494690?hash=item2a933732e2:g:G0QAAOSwVqlZ8sFG,Oxford Handbook of Paediatrics
" 11,985.52",https://www.ebay.in/itm/Soft-Computing-in-Textile-Engineering-Woodhead-Publishing-Series-in-Textiles/122800534920?hash=item1c977b7588:g:WC0AAOSwySlaBKmw,Soft Computing in Textile Engineering (Woodhead Publishing Series in Textiles)
" 5,100.00",https://www.ebay.in/itm/The-Bethesda-Handbook-of-Clinical-Oncology/182696812420?hash=item2a89941f84:g:lAAAAOSwlhpZgGbK,The Bethesda Handbook of Clinical Oncology
" 3,130.29",https://www.ebay.in/itm/Comutational-Intelligence-PC-Tools/122672753600?hash=item1c8fddabc0:g:vnkAAOSwmZFZpHgt,Comutational Intelligence PC Tools
" 2,120.75",https://www.ebay.in/itm/The-Digital-Mind-How-Science-Is-Redefining-Humanity-MIT-Press/182663051059?hash=item2a8790f733:i:182663051059,The Digital Mind: How Science Is Redefining Humanity (MIT Press)
" 8,194.65",https://www.ebay.in/itm/Neural-Network-Data-Analysis-Using-Simulnet/122720773366?hash=item1c92ba64f6:g:7bIAAOSwwrtZxZ4s,Neural Network Data Analysis Using Simulnet
" 4,932.77",https://www.ebay.in/itm/Computer-Science-and-Operations-Research-New-Developments-in-Their-Interfaces/122671123183?hash=item1c8fc4caef:g:pkMAAOSwAk9Zo4lI,Computer Science and Operations Research: New Developments in Their Interfaces
" 6,479.49",https://www.ebay.in/itm/Introduction-to-Engineering-Design-Optimization/122683575328?hash=item1c9082cc20:g:HF4AAOSwN8FZq10g,Introduction to Engineering Design Optimization
" 105,402.68",https://www.ebay.in/itm/The-Metabolic-and-Molecular-Bases-of-Inherited-Disease-4-volume-set/122671088207?hash=item1c8fc4424f:g:dPMAAOSw0ThZo34-,"The Metabolic and Molecular Bases of Inherited Disease, 4 volume set"
" 8,452.65",https://www.ebay.in/itm/Progress-in-Computer-Research-Volume-II/122777563508?hash=item1c961cf174:g:bkMAAOSwjodZ9A9e,"Progress in Computer Research, Volume II"
" 3,225.73",https://www.ebay.in/itm/Harrisons-Principles-of-Internal-Medicine-Volume-2-ONLY-of-2-Volume-Set/122669370025?hash=item1c8faa0aa9:g:fc0AAOSw5l5ZogYs,Harrison's Principles of Internal Medicine (Volume 2 ONLY of 2-Volume Set)
" 5,034.35",https://www.ebay.in/itm/Harrisons-Principles-of-Internal-Medicine-Volume-1-ONLY-of-2-Volume-Set/122669369999?hash=item1c8faa0a8f:g:LkAAAOSwRLlZogYp,Harrison's Principles of Internal Medicine (Volume 1 ONLY of 2-Volume Set)
" 2,605.83",https://www.ebay.in/itm/Harrisons-Principles-of-Internal-Medicine/122670000859?hash=item1c8fb3aadb:g:Qs0AAOSw0ThZorb1,Harrison's Principles of Internal Medicine
" 8,848.06",https://www.ebay.in/itm/Harrisons-principles-of-internal-medicine/122669471451?hash=item1c8fab96db:g:nQIAAOSwDthZoigI,Harrison's principles of internal medicine
" 9,695.63",https://www.ebay.in/itm/Harrisons-Principles-of-Internal-Medicine/122669550291?hash=item1c8faccad3:g:ysEAAOSwuU9ZokEl,Harrison's Principles of Internal Medicine
" 1,195.21",https://www.ebay.in/itm/Computer-Science-An-Overview-6th-Edition/122683560554?hash=item1c9082926a:g:~t0AAOSw81dZq1hQ,Computer Science: An Overview (6th Edition)
" 4,584.71",https://www.ebay.in/itm/Pattern-Discovery-in-Biomolecular-Data-Tools-Techniques-and-Applications/122682809555?hash=item1c90771cd3:g:XmYAAOSwWjpZqr42,"Pattern Discovery in Biomolecular Data: Tools, Techniques, and Applications"
" 47,218.47",https://www.ebay.in/itm/Harrisons-Principles-of-Internal-Medicine/122669994795?hash=item1c8fb3932b:g:sGIAAOSwykpZorSl,Harrison's Principles of Internal Medicine
